uuid,product,region,technology,technology_classification,annual_production_capacity,annual_production_volume,cuf,year_commissioned,asset_lifetime,retrofit_status,rebuild_status,greenfield_status,stay_same_status
61d004b803da44cea8b94ebc735a54c9,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,1.75,1.34995,0.7714,2008,30,False,False,False,False
9985a8545dd14182be473e3d6f7aa220,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,0.57,0.5750159999999999,1.0088,1965,30,False,False,False,False
e82276d21d2242de84f080afe8e07d83,Aluminium,Rest of Asia,Carbon Anode + Hydro,transition,0.26,0.247,0.95,1976,60,False,False,False,False
be81c8ef430c43bd8140119837c99bce,Aluminium,Middle East,Carbon Anode + Natural Gas,initial,0.11,0.1045,0.95,1997,30,False,False,False,False
a976d4da4f42474a8462284d921767a3,Aluminium,Middle East,Carbon Anode + Natural Gas,initial,0.147,0.13965,0.95,1997,30,False,False,False,False
ddd5d04875684e88bffa92041dec1f80,Aluminium,Middle East,Carbon Anode + Grid,transition,0.23,0.177606,0.7722,1967,0,False,False,False,False
6ae7a2b36880417fb5e4c4f41e162172,Aluminium,Middle East,Carbon Anode + Grid,transition,0.3,0.1788,0.596,2020,0,False,False,False,False
fbabee0d11314075981a38bff28934f9,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.15,0.0,0.0,2023,0,False,False,False,False
e9c9f5127f7e4bfc87713c81e291189b,Aluminium,Rest of Asia,Carbon Anode + Grid,transition,0.25,0.265,1.06,2007,0,False,False,False,False
7c97b4a56d3d4575842d6b93e22913e4,Aluminium,Rest of Asia,Carbon Anode + PPA+Grid,transition,0.12,0.12,1.0,2009,0,False,False,False,False
982a0c406ac44cc3a49eab443351d3ce,Aluminium,Rest of Asia,Carbon Anode + PPA+Grid,transition,0.96,0.96,1.0,2012,0,False,False,False,False
294c61fd7f13411882f3a568d9558189,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.12,0.0,0.0,1969,0,False,False,False,False
7a29ca5f214d4b44b9bfb60dc0f41352,Aluminium,Africa,Carbon Anode + PPA+Grid,transition,0.58,0.26500199999999996,0.4569,1998,0,False,False,False,False
619ad046dd444afba5d1ad536c405aeb,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.11,0.0,0.0,1966,0,False,False,False,False
4d5605a304af4ff1b681e82bc3482e4c,Aluminium,Oceania,Carbon Anode + PPA+Grid,transition,0.373,0.3330144,0.8928,1971,0,False,False,False,False
d7fa302244814f19b6f51a585c8b5cac,Aluminium,Africa,Carbon Anode + Natural Gas,initial,0.193,0.0,0.0,2023,30,False,False,False,False
310b0e883e3543708c2363a410c756f4,Aluminium,Scandinavia,Carbon Anode + PPA+Grid,transition,0.094,0.0,0.0,1962,0,False,False,False,False
7831782809174157ad502d8777def8ea,Aluminium,Scandinavia,Carbon Anode + PPA+Grid,transition,0.2,0.0,0.0,1962,0,False,False,False,False
f3028e7697494be586cb3d502503933d,Aluminium,Scandinavia,Carbon Anode + Hydro,transition,0.202,0.20099,0.995,1948,60,False,False,False,False
2ff75d99e2554c5e81ba8a65e9a00d6e,Aluminium,Scandinavia,Carbon Anode + Hydro,transition,0.066,0.066,1.0,1917,60,False,False,False,False
7e11b04c05ee48c5979eebe4322014d5,Aluminium,Scandinavia,Carbon Anode + Hydro,transition,0.195,0.18525,0.95,1965,60,False,False,False,False
9536b291abf94a8ca93af0821a0f98e9,Aluminium,Scandinavia,Carbon Anode + Hydro,transition,0.271,0.2659865,0.9815,1967,60,False,False,False,False
0077cf4c3e5440f181a28bc9bcd70abc,Aluminium,Scandinavia,Carbon Anode + Hydro,transition,0.425,0.42300249999999995,0.9953,1954,60,False,False,False,False
3167095a9e8c4da783f8b855c02043de,Aluminium,Middle East,Carbon Anode + Natural Gas,initial,0.395,0.395,1.0,2004,30,False,False,False,False
d6ac8aa2eedd4a189d9475d76f4ebdcd,Aluminium,Middle East,Carbon Anode + Natural Gas,initial,0.636,0.636,1.0,2009,30,False,False,False,False
0071bce55e04492388f4e0ac06e8baaa,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.265,0.271307,1.0238,1965,0,False,False,False,False
5fd0a40a383b47ffa5076cccacc0d311,Aluminium,Russia,Carbon Anode + Hydro,transition,0.298,0.28309999999999996,0.95,2019,60,False,False,False,False
e2a3fef4f1184ceba10dbc14ca359acb,Aluminium,Russia,Carbon Anode + Hydro,transition,1.009,1.009,1.0,1966,60,False,False,False,False
