product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Alumina,H2-Boiler + Elec-Calciner,Oceania,2020,0,,0.480154,,,
Alumina,H2-Boiler + Elec-Calciner,Rest of Asia,2020,0,,0.550435,,,
Alumina,H2-Boiler + Elec-Calciner,Russia,2020,0,,0.326564,,,
Alumina,H2-Boiler + Elec-Calciner,South America,2020,0,,0.12368,,,
Alumina,H2-Boiler + Gas-Calciner,Africa,2020,0.180324,,0,,,
Alumina,H2-Boiler + Gas-Calciner,China - Central,2020,0.165838,,0,,,
Alumina,H2-Boiler + Gas-Calciner,China - East,2020,0.165838,,0,,,
Alumina,H2-Boiler + Gas-Calciner,China - North,2020,0.165838,,0,,,
Alumina,H2-Boiler + Gas-Calciner,China - North East,2020,0.165838,,0,,,
Alumina,H2-Boiler + Gas-Calciner,China - North West,2020,0.165838,,0,,,
Alumina,H2-Boiler + Gas-Calciner,China - South,2020,0.165838,,0,,,
Alumina,H2-Boiler + Gas-Calciner,Rest of Europe,2020,0.219648,,0,,,
Alumina,H2-Boiler + Gas-Calciner,Middle East,2020,0.16861,,0,,,
Alumina,H2-Boiler + Gas-Calciner,US,2020,0.166062,,0,,,
Alumina,H2-Boiler + Gas-Calciner,Oceania,2020,0.167537,,0,,,
Alumina,H2-Boiler + Gas-Calciner,Rest of Asia,2020,0.180324,,0,,,
Alumina,H2-Boiler + Gas-Calciner,Russia,2020,0.219648,,0,,,
Alumina,H2-Boiler + Gas-Calciner,South America,2020,0.132635,,0,,,
Alumina,H2-Boiler + H2-Calciner,Africa,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,China - Central,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,China - East,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,China - North,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,China - North East,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,China - North West,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,China - South,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,Rest of Europe,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,Middle East,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,US,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,Oceania,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,Rest of Asia,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,Russia,2020,0,,0,,,
Alumina,H2-Boiler + H2-Calciner,South America,2020,0,,0,,,
Alumina,H2-Boiler + Oil-Calciner,Africa,2020,0.23735,,0,,,
Alumina,H2-Boiler + Oil-Calciner,China - Central,2020,0.218283,,0,,,
Alumina,H2-Boiler + Oil-Calciner,China - East,2020,0.218283,,0,,,
Alumina,H2-Boiler + Oil-Calciner,China - North,2020,0.218283,,0,,,
Alumina,H2-Boiler + Oil-Calciner,China - North East,2020,0.218283,,0,,,
Alumina,H2-Boiler + Oil-Calciner,China - North West,2020,0.218283,,0,,,
Alumina,H2-Boiler + Oil-Calciner,China - South,2020,0.218283,,0,,,
Alumina,H2-Boiler + Oil-Calciner,Rest of Europe,2020,0.28911,,0,,,
Alumina,H2-Boiler + Oil-Calciner,Middle East,2020,0.221932,,0,,,
Alumina,H2-Boiler + Oil-Calciner,US,2020,0.218578,,0,,,
Alumina,H2-Boiler + Oil-Calciner,Oceania,2020,0.220519,,0,,,
Alumina,H2-Boiler + Oil-Calciner,Rest of Asia,2020,0.23735,,0,,,
Alumina,H2-Boiler + Oil-Calciner,Russia,2020,0.28911,,0,,,
Alumina,H2-Boiler + Oil-Calciner,South America,2020,0.17458,,0,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,Africa,2020,0.025873,,0.696078,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - Central,2020,0.023794,,0.575684,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - East,2020,0.023794,,0.853247,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - North,2020,0.023794,,1.099968,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - North East,2020,0.023794,,1.223329,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - North West,2020,0.023794,,0.853247,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,China - South,2020,0.023794,,0.627085,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,Rest of Europe,2020,0.031515,,0.449508,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,Middle East,2020,0.024192,,0.420163,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,US,2020,0.023826,,0.547517,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,Oceania,2020,0.024038,,0.913493,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,Rest of Asia,2020,0.025873,,1.047202,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,Russia,2020,0.031515,,0.621288,,,
Alumina,MVR-Fossil-Boiler + Elec-Calciner,South America,2020,0.01903,,0.235302,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,Africa,2020,0.206197,,0.330202,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - Central,2020,0.189632,,0.273091,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - East,2020,0.189632,,0.40476,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - North,2020,0.189632,,0.521798,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - North East,2020,0.189632,,0.580318,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - North West,2020,0.189632,,0.40476,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,China - South,2020,0.189632,,0.297474,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,Rest of Europe,2020,0.251163,,0.213236,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,Middle East,2020,0.192802,,0.199315,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,US,2020,0.189889,,0.259729,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,Oceania,2020,0.191574,,0.433339,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,Rest of Asia,2020,0.206197,,0.496767,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,Russia,2020,0.251163,,0.294724,,,
Alumina,MVR-Fossil-Boiler + Gas-Calciner,South America,2020,0.151665,,0.111621,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,Africa,2020,0.025873,,0.330202,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,China - Central,2020,0.023794,,0.273091,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,China - East,2020,0.023794,,0.40476,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,China - North,2020,0.023794,,0.521798,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,China - North East,2020,0.023794,,0.580318,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,China - North West,2020,0.023794,,0.40476,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,China - South,2020,0.023794,,0.297474,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,Rest of Europe,2020,0.031515,,0.213236,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,Middle East,2020,0.024192,,0.199315,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,US,2020,0.023826,,0.259729,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,Oceania,2020,0.024038,,0.433339,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,Rest of Asia,2020,0.025873,,0.496767,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,Russia,2020,0.031515,,0.294724,,,
Alumina,MVR-Fossil-Boiler + H2-Calciner,South America,2020,0.01903,,0.111621,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,Africa,2020,0.263223,,0.330202,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - Central,2020,0.242077,,0.273091,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - East,2020,0.242077,,0.40476,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - North,2020,0.242077,,0.521798,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - North East,2020,0.242077,,0.580318,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - North West,2020,0.242077,,0.40476,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,China - South,2020,0.242077,,0.297474,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,Rest of Europe,2020,0.320625,,0.213236,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,Middle East,2020,0.246124,,0.199315,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,US,2020,0.242404,,0.259729,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,Oceania,2020,0.244556,,0.433339,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,Rest of Asia,2020,0.263223,,0.496767,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,Russia,2020,0.320625,,0.294724,,,
Alumina,MVR-Fossil-Boiler + Oil-Calciner,South America,2020,0.19361,,0.111621,,,
Alumina,Oil-Boiler + Elec-Calciner,Africa,2020,0.6666,,0.365875,,,
Alumina,Oil-Boiler + Elec-Calciner,China - Central,2020,0.613049,,0.302594,,,
Alumina,Oil-Boiler + Elec-Calciner,China - East,2020,0.613049,,0.448487,,,
Alumina,Oil-Boiler + Elec-Calciner,China - North,2020,0.613049,,0.57817,,,
Alumina,Oil-Boiler + Elec-Calciner,China - North East,2020,0.613049,,0.643011,,,
Alumina,Oil-Boiler + Elec-Calciner,China - North West,2020,0.613049,,0.448487,,,
Alumina,Oil-Boiler + Elec-Calciner,China - South,2020,0.613049,,0.329611,,,
Alumina,Oil-Boiler + Elec-Calciner,Rest of Europe,2020,0.811969,,0.236272,,,
Alumina,Oil-Boiler + Elec-Calciner,Middle East,2020,0.623298,,0.220848,,,
Alumina,Oil-Boiler + Elec-Calciner,US,2020,0.613879,,0.287788,,,
Alumina,Oil-Boiler + Elec-Calciner,Oceania,2020,0.619329,,0.480154,,,
Alumina,Oil-Boiler + Elec-Calciner,Rest of Asia,2020,0.6666,,0.550435,,,
Alumina,Oil-Boiler + Elec-Calciner,Russia,2020,0.811969,,0.326564,,,
Alumina,Oil-Boiler + Elec-Calciner,South America,2020,0.490309,,0.12368,,,
Alumina,Oil-Boiler + Gas-Calciner,Africa,2020,0.846924,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,China - Central,2020,0.778887,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,China - East,2020,0.778887,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,China - North,2020,0.778887,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,China - North East,2020,0.778887,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,China - North West,2020,0.778887,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,China - South,2020,0.778887,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,Rest of Europe,2020,1.031618,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,Middle East,2020,0.791908,,0,,,
