product,technology_origin,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Ammonia,Biomass Digestion + ammonia synthesis,2040,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2040,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2041,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2042,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2043,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2044,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2045,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2046,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2047,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,Latin America,0,0,0,0,0
