,product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
155,Alumina,Coal-Boiler + H2-Calciner,Rest of Asia,25,0.06,transition,,2030,,2020
156,Alumina,Elec-Boiler + Elec-Calciner,Rest of Asia,20,0.06,end-state,,2030,,2020
157,Alumina,Elec-Boiler + Gas-Calciner,Rest of Asia,25,0.06,transition,,2020,,2020
158,Alumina,Elec-Boiler + Oil-Calciner,Rest of Asia,25,0.06,transition,,2020,,2020
159,Alumina,Elec-Boiler + H2-Calciner,Rest of Asia,25,0.06,end-state,,2030,,2020
160,Alumina,H2-Boiler + Elec-Calciner,Rest of Asia,20,0.06,end-state,,2030,,2020
161,Alumina,H2-Boiler + Gas-Calciner,Rest of Asia,25,0.06,transition,,2027,,2020
162,Alumina,H2-Boiler + Oil-Calciner,Rest of Asia,25,0.06,transition,,2027,,2020
163,Alumina,H2-Boiler + H2-Calciner,Rest of Asia,25,0.06,end-state,,2030,,2020
164,Alumina,MVR-Fossil-Boiler + Elec-Calciner,Rest of Asia,20,0.06,end-state,,2030,,2020
165,Alumina,MVR-Fossil-Boiler + Gas-Calciner,Rest of Asia,25,0.06,transition,,2027,,2020
166,Alumina,MVR-Fossil-Boiler + Oil-Calciner,Rest of Asia,25,0.06,transition,,2027,,2020
167,Alumina,MVR-Fossil-Boiler + H2-Calciner,Rest of Asia,25,0.06,end-state,,2030,,2020
168,Alumina,Gas-Boiler + Elec-Calciner,US,20,0.06,transition,,2030,,2020
169,Alumina,Gas-Boiler + Gas-Calciner,US,25,0.06,initial,,2020,,2020
170,Alumina,Gas-Boiler + Oil-Calciner,US,25,0.06,initial,,2020,,2020
171,Alumina,Gas-Boiler + H2-Calciner,US,25,0.06,transition,,2030,,2020
172,Alumina,Oil-Boiler + Elec-Calciner,US,20,0.06,transition,,2030,,2020
173,Alumina,Oil-Boiler + Gas-Calciner,US,25,0.06,initial,,2020,,2020
174,Alumina,Oil-Boiler + Oil-Calciner,US,25,0.06,initial,,2020,,2020
175,Alumina,Oil-Boiler + H2-Calciner,US,25,0.06,transition,,2030,,2020
176,Alumina,Coal-Boiler + Elec-Calciner,US,20,0.06,transition,,2030,,2020
177,Alumina,Coal-Boiler + Gas-Calciner,US,25,0.06,initial,,2020,,2020
178,Alumina,Coal-Boiler + Oil-Calciner,US,25,0.06,initial,,2020,,2020
179,Alumina,Coal-Boiler + H2-Calciner,US,25,0.06,transition,,2030,,2020
180,Alumina,Elec-Boiler + Elec-Calciner,US,20,0.06,end-state,,2030,,2020
181,Alumina,Elec-Boiler + Gas-Calciner,US,25,0.06,transition,,2020,,2020
182,Alumina,Elec-Boiler + Oil-Calciner,US,25,0.06,transition,,2020,,2020
183,Alumina,Elec-Boiler + H2-Calciner,US,25,0.06,end-state,,2030,,2020
184,Alumina,H2-Boiler + Elec-Calciner,US,20,0.06,end-state,,2030,,2020
185,Alumina,H2-Boiler + Gas-Calciner,US,25,0.06,transition,,2027,,2020
186,Alumina,H2-Boiler + Oil-Calciner,US,25,0.06,transition,,2027,,2020
187,Alumina,H2-Boiler + H2-Calciner,US,25,0.06,end-state,,2030,,2020
188,Alumina,MVR-Fossil-Boiler + Elec-Calciner,US,20,0.06,end-state,,2030,,2020
189,Alumina,MVR-Fossil-Boiler + Gas-Calciner,US,25,0.06,transition,,2027,,2020
190,Alumina,MVR-Fossil-Boiler + Oil-Calciner,US,25,0.06,transition,,2027,,2020
191,Alumina,MVR-Fossil-Boiler + H2-Calciner,US,25,0.06,end-state,,2030,,2020
192,Alumina,Gas-Boiler + Elec-Calciner,Russia,20,0.06,transition,,2030,,2020
193,Alumina,Gas-Boiler + Gas-Calciner,Russia,25,0.06,initial,,2020,,2020
194,Alumina,Gas-Boiler + Oil-Calciner,Russia,25,0.06,initial,,2020,,2020
195,Alumina,Gas-Boiler + H2-Calciner,Russia,25,0.06,transition,,2030,,2020
196,Alumina,Oil-Boiler + Elec-Calciner,Russia,20,0.06,transition,,2030,,2020
197,Alumina,Oil-Boiler + Gas-Calciner,Russia,25,0.06,initial,,2020,,2020
198,Alumina,Oil-Boiler + Oil-Calciner,Russia,25,0.06,initial,,2020,,2020
199,Alumina,Oil-Boiler + H2-Calciner,Russia,25,0.06,transition,,2030,,2020
200,Alumina,Coal-Boiler + Elec-Calciner,Russia,20,0.06,transition,,2030,,2020
201,Alumina,Coal-Boiler + Gas-Calciner,Russia,25,0.06,initial,,2020,,2020
202,Alumina,Coal-Boiler + Oil-Calciner,Russia,25,0.06,initial,,2020,,2020
203,Alumina,Coal-Boiler + H2-Calciner,Russia,25,0.06,transition,,2030,,2020
