product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + Grid,Rest of Europe,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,Rest of Europe,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,Rest of Europe,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Rest of Europe,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Rest of Europe,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Rest of Europe,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,Rest of Europe,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Rest of Europe,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Rest of Europe,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Rest of Europe,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,Rest of Europe,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Rest of Europe,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,Rest of Europe,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Rest of Europe,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,Middle East,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,Middle East,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,Middle East,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,Middle East,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,Middle East,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,Middle East,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,Middle East,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Middle East,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Middle East,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,Middle East,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,Middle East,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Middle East,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Middle East,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Middle East,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,Middle East,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Middle East,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Middle East,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Middle East,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,Middle East,30,9%,transition,,2030,,2020
