,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,greenfield_bau_ranking
692,692,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2029,589.4013259,1197.578191,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4575344147294319,1.0,0.0,0.4575344147294319,5,5034.5
699,699,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2029,973.8888374,1978.801168,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.00214181872653596,1.0,0.0,0.00214181872653596,1,5251.5
706,706,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2030,610.9792315,1241.421372,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43197722976611885,1.0,0.0,0.43197722976611885,5,5095.5
713,713,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2030,589.1673647,1197.102815,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4578115217746419,1.0,0.0,0.4578115217746419,5,5032.5
720,720,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2030,973.7992375,1978.619114,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.002247942150163995,1.0,0.0,0.002247942150163995,1,5249.5
727,727,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2030,526.2318532,1069.226965,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5323532561756956,1.0,0.0,0.5323532561756956,6,4933.0
734,734,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2030,610.9792315,1241.421372,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.43197722976611885,1.0,0.0,0.43197722976611885,5,5095.5
741,741,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2030,967.6574277,1966.139845,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.009522390930220226,1.0,0.0,0.009522390930220226,1,5183.0
748,748,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2030,597.221395,1213.467439,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44827221124594874,1.0,0.0,0.44827221124594874,5,5057.0
755,755,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2030,675.1899763,1371.888312,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3559250905128223,1.0,0.0,0.3559250905128223,4,5152.0
