region,year,value
Russia,2043,712421.5526141439
Europe,2043,2636954.4733892777
India,2043,2003259.9941180667
Middle East,2043,1323201.8505765742
Africa,2043,927895.9500171234
Latin America,2043,642578.1217173856
Oceania,2043,866086.0906251323
China,2044,9967177.072157137
Rest of Asia,2044,3011636.3075280935
North America,2044,2735895.224791305
Russia,2044,796505.2693039482
Europe,2044,2834798.464671562
India,2044,2239695.213102342
Middle East,2044,1477840.941090676
Africa,2044,1037411.0817429507
Latin America,2044,717068.4663837431
Oceania,2044,967529.6251641565
China,2045,10852132.145156492
Rest of Asia,2045,3323518.7593087964
North America,2045,3000791.6643861607
Russia,2045,882504.1809465701
Europe,2045,3033934.3031340884
India,2045,2481515.7736948803
Middle East,2045,1636002.2832049723
Africa,2045,1149420.6658526121
Latin America,2045,793255.4954707593
Oceania,2045,1071283.76338477
China,2046,11742865.643410437
Rest of Asia,2046,3640641.5396251995
North America,2046,3270589.752571959
Russia,2046,970094.4180321478
Europe,2046,3234072.344468112
India,2046,2727810.98638883
Middle East,2046,1797090.245703075
Africa,2046,1263502.8773670164
Latin America,2046,870852.2907454359
Oceania,2046,1176957.770087539
China,2047,12638081.989536377
Rest of Asia,2047,3962090.963861513
North America,2047,3544444.6317785657
Russia,2047,1059001.6966494445
Europe,2047,3434987.0211544475
India,2047,2977809.5915495064
Middle East,2047,1960600.390671842
Africa,2047,1379300.4742439245
Latin America,2047,949615.862198663
Oceania,2047,1284220.7330516635
China,2048,13536772.221275138
Rest of Asia,2048,4287101.994950833
North America,2048,3821646.27126493
Russia,2048,1148995.5045610885
Europe,2048,3636503.1018726397
India,2048,3230863.4112244206
Middle East,2048,2126108.7810620693
Africa,2048,1496513.225011251
Latin America,2048,1029341.9974491663
Oceania,2048,1392794.5487746566
China,2049,14438152.529904598
Rest of Asia,2049,4615037.78431609
North America,2049,4101601.6921864785
Russia,2049,1239883.3305527398
Europe,2049,3838484.698198672
India,2049,3486431.122635381
Middle East,2049,2293261.367834642
Africa,2049,1614890.3927626468
Latin America,2049,1109860.1494841247
Oceania,2049,1502446.9604202386
China,2050,15341615.087259686
Rest of Asia,2050,4945370.712431164
North America,2050,4383818.210700198
Russia,2050,1331505.2242892878
Europe,2050,4040826.5580198043
India,2050,3744062.9610241493
Middle East,2050,2461763.984945018
Africa,2050,1734223.6496231214
Latin America,2050,1191028.6171982477
Oceania,2050,1612984.9945093207
