product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Inert Anode + Small Modular Reactor,North America,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Oceania,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Oceania,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Oceania,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Oceania,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Oceania,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,Oceania,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Oceania,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Oceania,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Oceania,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Oceania,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Oceania,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Rest of Asia,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Rest of Asia,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Rest of Asia,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Rest of Asia,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Rest of Asia,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,Rest of Asia,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Rest of Asia,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Rest of Asia,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Rest of Asia,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Rest of Asia,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Rest of Asia,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Russia,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Russia,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Russia,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Russia,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Russia,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,Russia,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Russia,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Russia,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Russia,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Russia,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Russia,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,South America,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,South America,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,South America,30,0.06,end-state,,2030,,2020
