product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode + Natural Gas,Oceania,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,Oceania,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,Oceania,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,Oceania,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,Oceania,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,Oceania,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,Oceania,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Oceania,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,Oceania,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Oceania,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,Oceania,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,Oceania,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,Oceania,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,Oceania,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,Oceania,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,Oceania,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,Oceania,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,Oceania,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,Rest of Asia,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,Rest of Asia,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,Rest of Asia,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,Rest of Asia,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,Rest of Asia,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,Rest of Asia,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,Rest of Asia,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,Rest of Asia,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,Rest of Asia,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,Rest of Asia,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,Rest of Asia,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Rest of Asia,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,Rest of Asia,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Rest of Asia,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,Rest of Asia,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,Rest of Asia,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,Rest of Asia,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,Rest of Asia,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,Rest of Asia,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,Rest of Asia,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,Rest of Asia,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,Rest of Asia,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,Russia,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,Russia,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,Russia,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,Russia,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,Russia,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,Russia,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,Russia,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,Russia,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,Russia,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,Russia,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,Russia,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Russia,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,Russia,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Russia,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,Russia,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,Russia,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,Russia,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,Russia,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,Russia,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,Russia,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,Russia,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,Russia,15,0.05,end-state,,2035,,
Aluminium,Carbon Anode + Coal,South America,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + Coal+CCS,South America,30,0.06,transition,,2025,,
Aluminium,Carbon Anode + Grid,South America,70,0.05,transition,,2020,,
Aluminium,Carbon Anode + Hydro,South America,60,0.0495,transition,,2020,,
Aluminium,Carbon Anode + Natural Gas,South America,30,0.065,initial,,2020,,
Aluminium,Carbon Anode + PPA+Grid,South America,70,0.05,transition,,2025,,
Aluminium,Carbon Anode+CCS + Coal,South America,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Coal+CCS,South America,30,0.06,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Grid,South America,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Hydro,South America,60,0.0495,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas,South America,30,0.065,transition,,2030,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,South America,30,0.0575,end-state,,2030,,
Aluminium,Carbon Anode+CCS + PPA+Grid,South America,90,0.05,end-state,,2030,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,South America,15,0.05,end-state,,2035,,
Aluminium,Inert Anode + Coal,South America,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Coal+CCS,South America,30,0.06,end-state,,2030,,
Aluminium,Inert Anode + Grid,South America,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Hydro,South America,60,0.0495,end-state,,2030,,
Aluminium,Inert Anode + Natural Gas,South America,30,0.065,transition,,2030,,
Aluminium,Inert Anode + Natural Gas+CCS,South America,30,0.0575,end-state,,2030,,
Aluminium,Inert Anode + PPA+Grid,South America,70,0.05,end-state,,2030,,
Aluminium,Inert Anode + Small Modular Reactor,South America,15,0.05,end-state,,2035,,
