product,technology,year,region,co2_scope1_pre_process_input_pre_ccs,scope1_pre_ccs,external_co2_input,co2_scope1,co2_scope1_captured,n2o_scope1,co2_scope2,n2o_scope2,ch4_scope2,co2_scope3_upstream,n2o_scope3_upstream,ch4_scope3_upstream,co2_scope3_downstream,n2o_scope3_downstream,ch4_scope3_downstream,ch4_scope1
Ammonia,Biomass Digestion + ammonia synthesis,2026,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2026,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2027,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2028,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2029,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2030,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2031,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Brazil,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,China,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Europe,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,India,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Latin America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Middle East,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Namibia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,North America,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Oceania,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Rest of Asia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Russia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2032,Saudi Arabia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Africa,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2033,Australia,17.41824,17.41824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
